artist,album,genre,firstRelease,format,fullDate,mainLanguage,cityUa,cityEn,label,sex,artistLink,albumLink
The Streechers,Different,rock,yes,lp,01.10.2021,en,Чернігів,Chernihiv,self-made,Mix,https://www.instagram.com/the_streechers/,https://music.youtube.com/playlist?list=OLAK5uy_n_dTQ9wRoPGJUxUWBbBJvEpPYqUI2QMf0
The Tea Ship,Алгоритми,rock,no,lp,07.02.2021,ua,Чернігів,Chernihiv,self-made,M,https://www.instagram.com/teashipband/,https://music.youtube.com/watch?v=U5jT_jTBLSc&list=OLAK5uy_nKXSeNky2uyRZJtjpn0oS99rccWthD4x0
the worst is yet to come,Pain Is Self Pleasure,punk,no,ep,23.01.2021,en,"Суми, Івано-Франківськ","Sumy, Ivano-Frankivsk",notyet,Mix,https://theworstisyettocome.bandcamp.com/,https://music.youtube.com/playlist?list=OLAK5uy_nuFdwbJvuuGhDoMShtqPS_k8JpmAmmhdo
They Came From Visions,"Cloak Of Darkness, Dagger Of Night",metal,no,lp,16.10.2021,en,Київ,Kyiv,Bloodred Distribution,-,,https://theycamefromvisions.bandcamp.com/album/cloak-of-darkness-dagger-of-night
THEY DRINK CHAMPAGNE,Without a Sound,rock,no,ep,27.04.2021,en,Київ,Kyiv,Babooshka Records,M,https://www.instagram.com/theydrinkchampagne/,https://music.youtube.com/playlist?list=OLAK5uy_nbuAD9qXKOKKh8b4fXqpyLoTzmGhEQLVw
Thom Leaf,Late Teens,rock,yes,ep,07.08.2021,en,Київ,Kyiv,self-made,M,https://www.instagram.com/thmleaf/,https://music.youtube.com/playlist?list=OLAK5uy_kDac7pck90pbwoseyjWp20K3wgcxKSa8g
Torino Days,Funny Things,indie,yes,ep,11.08.2021,en,Київ,Kyiv,self-made,M,https://www.instagram.com/torinodays/,https://torinodays.bandcamp.com/album/funny-things
Totenrune,Towards The Universe,metal,yes,lp,10.10.2021,ua,Київ,Kyiv,self-made,-,https://www.instagram.com/totenrune/,https://totenrune.bandcamp.com/album/towards-the-universe
Triple Jump,Regrets,punk,yes,ep,30.09.2021,"ru, en",Київ,Kyiv,Records DK,M,https://www.instagram.com/triplejump.band/?fbclid=IwAR0Vbbv-eklvgfVii2tdrdFibkdVX0NUtVLSxwvVA0Ozxki1X9rAuYw1hlE,https://triplejump.bandcamp.com/album/regrets
True Tough,"Кто, если не мы",punk,yes,ep,11.09.2021,ru,Київ,Kyiv,self-made,M,https://www.instagram.com/true_tough/,https://music.youtube.com/watch?v=T4Vr49GmtFk&list=OLAK5uy_lEKoHWZBhH-p0giI9ciD8Ba--FGEY6GOU
Try Lying Awake,Nothing Makes Me Laugh,metal,no,ep,27.11.2021,en,Київ,Kyiv,Records DK,M,https://www.instagram.com/trylyingawake/,https://music.youtube.com/watch?v=IepSmTkDIZ4&list=OLAK5uy_mnettDIwB2h2W8yg30K0zsWy80zIoAges
Tsepi,Роза в целлофане,alternative,yes,lp,13.11.2021,ru,Київ,Kyiv,self-made,M,https://www.instagram.com/tsepi_360/,https://music.youtube.com/playlist?list=OLAK5uy_mTIHruX6rXgQ-FMs0UpVyB6tnWl8P3UAs
Tungu,Прилив избыточного счастья,hip-hop,no,lp,25.05.2021,-,Чернігів,Chernihiv,self-made,M,,https://tungu.bandcamp.com/album/burst-of-excessive-bliss
TVORCHI ,13 Waves,pop,no,lp,25.09.2021,eng,Тернопіль,Ternopil,self-made,M,https://www.instagram.com/tvorchi_official/,https://music.youtube.com/playlist?list=OLAK5uy_mEq6lDzxmT2_O-48e_YHg0HZNxLx_XVTk
Twin Quasar,Entropy,psychedelic,yes,ep,18.10.2021,en,Київ,Kyiv,self-made,M,https://www.instagram.com/twinquasarrr/,https://music.youtube.com/playlist?list=OLAK5uy_kfdOAxfx92vwgkMD7lumhlFzPFUACvLWw
TWO BUS,Ч / Б,rock,yes,lp,14.05.2021,ru,"Луганськ, Харків, Чернівці","Luhansk, Kharkiv, Chernivtsi",self-made,M,https://www.instagram.com/twobus.band/,https://music.youtube.com/playlist?list=OLAK5uy_lDd0DOe2zlmHk6d2-OmoAw2WzLgxbEQTI
Tyupa,Життя — Есе,pop,no,lp,21.06.2021,ua,Ужгород,Uzhhorod,Dzhmil' records,Mix,https://www.instagram.com/tyupa_official/,https://music.youtube.com/playlist?list=OLAK5uy_k77f1DqH1bG1P80K7HBtfSY5GFrLic4KY
U:LAV,Лупа,pop,yes,ep,13.03.2021,ua,Київ,Kyiv,Revet Sound,F,https://www.instagram.com/ulav_music/,https://music.youtube.com/playlist?list=OLAK5uy_lOwJMtLSM-1I9cBUqpZ4zT6IZwUDJNQqc
U.A.R.,Залізні хвилі,alternative rock,yes,ep,19.06.2021,ua,Дніпро,Dnipro,self-made,M,https://www.instagram.com/u.a.r.band/,https://soundcloud.com/u-a-r-553745750/sets/uar-zalzn-khvil-er-2020
U’me,Castles,r&b / soul,yes,ep,30.06.2021,en,Львів,Lviv,BYTKH,F,https://www.instagram.com/dara_ume/,https://music.youtube.com/playlist?list=OLAK5uy_k8cwH4G6CAIqA4ycEB9ba2YYuBcZMyYq8
Umru'Ka,OceanIa,indie,yes,ep,10.06.2021,ua,Суми,Sumy,self-made,M,https://www.instagram.com/umru.ka/,https://music.youtube.com/playlist?list=OLAK5uy_kAlQYHCWGgu4Nxbd43g86Z7Dm0QGmS_AY
Urbanistan,Поменяло,hip-hop / rap,no,lp,19.02.2021,ru,Харків,Kharkiv,self-made,M,https://www.facebook.com/urbanistanmusic/,https://music.youtube.com/playlist?list=OLAK5uy_mJ7uR1I8F-qIYDZwp0h2JD_na1xH_N70s
Urgalia,Tamara,psychedelic trip-hop ,no,ep,01.07.2021,en,Черкаси,Cherkasy,self-made,M,https://www.facebook.com/Urgalia/,https://urgalia.bandcamp.com/album/tamara
